timestamp,N,g,neurons_per_core,p_conn,rate_ext_input,reference_exc_firing_rate,reference_inh_firing_rate,reference_cv,nestml_exc_firing_rate,nestml_inh_firing_rate,nestml_cv,exc_relative_difference,inh_relative_difference,cv_absolute_difference
20260831_073334,50,10.0,8,0.1,50.0,2.125,2.0,0.6022388165336391,2.25,2.1,0.5473567144448758,0.058823529411764705,0.050000000000000044,0.05488210208876332
20260831_074004,100,10.0,16,0.1,50.0,2.2125,2.85,0.5245467981132693,3.0875,3.2,0.5992029629961345,0.3954802259887006,0.12280701754385967,0.0746561648828652
20260831_074544,120,10.0,32,0.1,50.0,2.2916666666666665,2.8333333333333335,0.5197218101576464,234.90625,236.625,0.3586973862279083,101.50454545454546,82.51470588235293,0.1610244239297381
20260831_075041,100,10.0,32,0.1,50.0,2.3,2.8,0.5309001844402639,3.4125,3.55,0.6311084975252733,0.4836956521739132,0.26785714285714285,0.10020831308500944
20260831_075541,120,10.0,64,0.1,50.0,2.21875,2.7916666666666665,0.5667940575294376,53.427083333333336,63.791666666666664,0.9825676886675092,23.07981220657277,21.850746268656717,0.41577363113807164
20260831_081412,120,10.0,64,0.1,50.0,2.21875,2.7916666666666665,0.5667940575294376,18.40625,22.708333333333332,1.7517769753552965,7.295774647887324,7.134328358208955,1.184982917825859
20260831_082200,100,10.0,16,0.1,50.0,2.2125,2.85,0.5245467981132693,3.0875,3.2,0.5992029629961345,0.3954802259887006,0.12280701754385967,0.0746561648828652
20260831_084348,100,10.0,16,0.1,50.0,2.2125,2.85,0.5245467981132693,3.0875,3.2,0.5992029629961345,0.3954802259887006,0.12280701754385967,0.0746561648828652
20260831_094335,100,10.0,16,0.1,50.0,2.2125,2.85,0.5245467981132693,3.0875,3.2,0.5992029629961345,0.3954802259887006,0.12280701754385967,0.0746561648828652
20260831_101458,100,10.0,16,0.1,50.0,2.2125,2.85,0.5245467981132693,3.0875,3.2,0.5992029629961345,0.3954802259887006,0.12280701754385967,0.0746561648828652
20260831_102201,100,10.0,16,0.1,50.0,2.2125,2.85,0.5245467981132693,3.0875,3.2,0.5992029629961345,0.3954802259887006,0.12280701754385967,0.0746561648828652
20260831_112848,100,10.0,16,0.1,50.0,2.2125,2.85,0.5245467981132693,3.0875,3.2,0.5992029629961345,0.3954802259887006,0.12280701754385967,0.0746561648828652
20260831_130516,120,10.0,32,0.1,50.0,2.2916666666666665,2.8333333333333335,0.5197218101576464,234.33333333333334,236.41666666666666,0.36307159372101827,101.25454545454546,82.44117647058822,0.15665021643662813
20260831_133012,50,10.0,8,0.1,50.0,2.125,2.0,0.6022388165336391,2.25,2.1,0.5473567144448758,0.058823529411764705,0.050000000000000044,0.05488210208876332
20260831_134116,100,10.0,16,0.1,50.0,2.2125,2.85,0.5245467981132693,3.0875,3.2,0.5992029629961345,0.3954802259887006,0.12280701754385967,0.0746561648828652
20260831_140953,80,10.0,16,0.1,50.0,2.109375,2.0625,0.5411590090167435,2.625,2.6875,0.5681019029069929,0.24444444444444444,0.30303030303030304,0.026942893890249398
20260901_155312,80,10.0,16,0.1,50.0,2.109375,2.0625,0.5411590090167435,2.625,2.6875,0.5681019029069929,0.24444444444444444,0.30303030303030304,0.026942893890249398
